点位基础信息,,,,空间分析信息,,,,,,,,,,,,,,,,,,,,,,,行人行为信息,,,,,,,,,,,,,,,,,,,,,,,,,,
基本字段,,,,空间尺寸,,,功能类型,,,,,,,界面品质,,,,,,,,,环境舒适度,,,,总体,,,,年龄,,,,性别,,,动作,,具体行为,,,,,,,,,,,,,
序号,完整地址,点位功能,立面照片,节点空间长度(m),界面退让距离(m),有效停留空间面积(㎡),功能类型,功能混合度,功能呈现度,人均消费水平(元/人),消费型停留空间占比(%),可承载停留人数(人),界面整体状态,界面开放度,临街互动性,界面连续性,界面连续性照片,视觉丰富度,历史感知度,路面状态,动静混合度,动静混合度照片,遮荫来源,遮荫率(%),声环境舒适度,气味环境,行人样本数,行为集群数,独立人数,集聚人数,幼年人数,青年人数,中年人数,老年人数,男性人数,女性人数,无法判断性别人数,落座人数,站立/倚靠人数,观察人数,光顾人数,等待人数,打卡人数,社交人数,争吵/纠纷人数,饮食人数,休憩人数,避雨/遮阳人数,工作人数,娱乐人数,运动人数,照看人数,整理人数
13,上海市徐汇区湖南路街道华亭路2号,商店,1788078233211.jpg,7.9,0,18.1,零售,1,3,97,0,6,3,3,4,一侧连续一侧临街,,3,2,3,无,,建筑,30,4,3,10,3,2,8,1,8,0,1,4,6,0,1,9,1,0,2,6,0,0,0,1,0,0,0,0,0,0
14,上海市徐汇区湖南路街道乌鲁木齐中路143号,商店,IMG_2516.jpg,20,2,20,餐饮/饮品；零售,2,4,31,30,10,4,2,4,商店位于街角,143.jpg,3,2,4,商店门口有抬升，并设有特殊铺地和围合,143.jpg,树木；建筑；雨棚,80,4,3,5,0,5,0,0,4,1,0,2,3,0,2,3,2,0,3,0,0,0,2,2,0,0,0,0,0,0
15,上海市徐汇区湖南路街道乌鲁木齐中路146号,商店,IMG_2517.jpg,8,0,20,餐饮/饮品,1,5,53,10,2,3,5,5,界面连续性较强,146.jpg,4,2,2,无特殊抬升、铺地 围合,146.jpg,树木；雨棚,30,4,3,3,1,0,3,1,1,1,0,1,2,0,2,1,2,0,0,0,3,0,0,3,0,0,0,0,0,0
16,上海市徐汇区湖南路街道乌鲁木齐中路192号,,IMG_2519.jpg,4,0,0.5,零售,1,4,177,5,2,4,4,4,界面连续性一般,194.jpg,5,2,4,无明显属于商铺的停留处,194.jpg,树木,15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,上海市徐汇区湖南路街道乌鲁木齐中路194号,,乌鲁木齐中路194号.jpg,8,0,0.5,零售,1,4,177,5,2,4,4,4,界面连续性一般,146.jpg,5,2,4,无明显属于商店的停留处,146.jpg,建筑；雨棚,15,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,上海市徐汇区湖南路街道乌鲁木齐中路292号,商店,IMG_2523.jpg,10,0,0.5,餐饮/饮品,1,4,25,10,2,5,5,5,商铺入口处为通透的落地大玻璃,厕所.jpg,5,3,4,商店没有无特殊铺地、抬升,厕所.jpg,树木；雨棚,50,4,5,2,1,0,2,0,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
19,上海市徐汇区湖南路街道乌鲁木齐中路294号,商店,IMG_2524.jpg,10,0,0.5,餐饮/饮品,1,3,27,5,2,5,2,3,店铺保持统一的配色方案,厕所.jpg,4,2,5,商店外没有设有明显停留处,,树木,30,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,上海市徐汇区湖南路街道乌鲁木齐中路296号,生活店铺,IMG_2525.jpg,3,0,1,餐饮/饮品,1,4,5,5,3,2,4,4,界面较为模糊,忘记馒头.jpg,3,5,2,早餐店设备部分侵占行人行走空间,忘记馒头.jpg,雨棚,30,3,2,2,0,2,0,0,1,1,0,1,1,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
21,上海市徐汇区湖南路街道乌鲁木齐中路305号,商店,乌鲁木齐中路305号.jpg,8,1,2,餐饮/饮品,1,4,43,10,10,5,5,4,界面色彩有特点且连续,gelato.jpg,5,1,5,冰淇淋店外所设停留处范围不明显,gelato.jpg,雨棚,20,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,上海市徐汇区湖南路街道乌鲁木齐中路315号,商店,乌鲁木齐中路315号.jpg,,,,餐饮/饮品,,,,,,,,,,,,,,,,,,,,2,1,0,2,0,2,0,0,1,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
23,上海市徐汇区湖南路街道乌鲁木齐中路328号,,乌鲁木齐中路328号.jpg,,,,餐饮/饮品,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,上海市徐汇区湖南路街道五原路50号,餐饮,五原路50弄.jpg,10,0,20,餐饮/饮品,1,5,163,90,10,1,4,1,节点周围没有连续的界面,,5,4,1,,,其他,80,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,上海市徐汇区湖南路街道五原路58号,咖啡店,IMG_6959.jpg,8,1,8,餐饮/饮品,1,5,60,90,6,5,4,4,周围无连续节点,,5,1,5,,,树木；雨棚,80,4,3,5,2,0,5,0,3,2,0,3,2,0,5,0,0,0,0,0,5,0,5,1,0,0,0,0,0,0
26,上海市徐汇区湖南路街道五原路98号,商店,IMG_6954.jpg,8,0,10,餐饮/饮品,1,5,200,10,7,5,5,5,左侧有连续界面（商店）,,5,3,5,,,树木；建筑,50,3,3,3,1,0,3,0,3,0,0,1,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
27,上海市徐汇区湖南路街道五原路126号,商店,五原路126号.jpg,6,0,2,零售,2,3,20,0,4,5,4,3,,,4,3,5,,,树木,60,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,上海市徐汇区湖南路街道五原路127号,餐饮,五原路127号.jpg,3,0,1,餐饮/饮品,2,5,30,100,3,5,3,1,左右两边都有连续界面,,3,3,5,,,树木,90,3,3,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,上海市徐汇区湖南路街道五原路145号,餐饮,,12,0.5,3,餐饮/饮品,1,5,128,0,5,5,4,3,位于街道转角，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,上海市徐汇区湖南路街道五原路157号,公共建筑,乌鲁木齐中路厕所.jpg,20,3,50,公共服务,1,4,0,30,20,4,4,4,位于街道转角,AgAABfqc9lqjb_VYvaBLhKktctqtlTCx.jpg,5,2,4,卫生间门口设有围合 和特殊铺地,AgAABfqc9lqjb_VYvaBLhKktctqtlTCx.jpg,树木；建筑；雨棚,90,4,2,3,1,0,3,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
31,上海市徐汇区湖南路街道五原路236号,商店,五原路236号.jpg,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,7,0,7,0,0,2,5,0,2,5,0,3,0,2,0,0,0,3,0,0,0,0,0,0
32,上海市徐汇区湖南路街道五原路236弄1号,商店,,3,0,3,生活服务；居住,2,4,,,3,1,4,1,,,3,1,5,,,树木；雨棚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,上海市徐汇区湖南路街道武康路57号,座椅,image.jpg,,,,,,,,,,,,,,,,,,,,,,,,16,4,7,9,0,7,7,2,16,0,0,5,11,6,0,1,9,0,0,0,0,0,0,0,0,0,0
34,上海市徐汇区湖南路街道武康路81弄,餐饮,IMG_6956.jpg,4,0,5,居住,1,2,0,0,5,4,5,5,,,2,5,5,,,树木；建筑,90,4,3,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,上海市徐汇区湖南路街道武康路98号,餐饮,IMG_6942.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,上海市徐汇区湖南路街道武康路98号,,DSC_2138.jpg,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,4,1,2,1,0,2,2,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,1,0
37,上海市徐汇区湖南路街道武康路100弄,餐饮,武康路98号 冰淇淋.jpg,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1,0,1,0,2,0,0,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0
38,上海市徐汇区湖南路街道武康路105号,,武康路105号.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,上海市徐汇区湖南路街道武康路107号,,武康路107号.jpg,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,2,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
40,上海市徐汇区湖南路街道武康路115号,,武康路115号_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
41,上海市徐汇区湖南路街道武康路127号,商店,武康路129号（待考）.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,上海市徐汇区湖南路街道武康路137号,商店,image.jpg,,,,,,,,,,,,,,,,,,,,,,,,9,4,0,9,0,7,2,0,4,5,0,1,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0
43,上海市徐汇区湖南路街道武康路286号,餐饮,武康路286号.jpg,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,2,0,2,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
44,上海市徐汇区湖南路街道武康路378号,商店,image.jpg,10,3-4,,餐饮/饮品；其他,3,5,,,,5,5,4,,,4,2,4,,,树木；建筑,,,,11,2,0,11,0,2,9,0,9,2,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
45,上海市徐汇区湖南路街道武康路407号,餐饮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,上海市徐汇区湖南路街道武康路435号,商店,image.jpg,15,0,25,餐饮/饮品；零售,2,4,,,,3,3,4,,,4,1,4,,,树木；雨棚,90,3,3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,上海市徐汇区湖南路街道新乐路2号,商店,1787992259360.jpg,,,,零售,3,5,1000,0,3,5,5,5,,image.jpg,5,1,4,,image.jpg,树木,30,4,3,2,0,2,0,0,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
48,上海市徐汇区湖南路街道新乐路9号,商店,IMG_20260829_155906.jpg,9.7,1,17.4,餐饮/饮品,1,4,17,75,10,3.5,2,2,不连续，紧邻小巷,IMG_5790.jpg,4,3,2.5,停留集中，铺地有变化，缓慢下沉,IMG_5791.jpg,树木；雨棚,70,3,2,12,4,4,8,0,6,5,1,5,7,0,8,4,2,3,1,0,4,0,7,5,0,0,0,0,0,0
49,上海市徐汇区湖南路街道新乐路82号,商店,1787993001465.jpg,7.4,0,10.8,餐饮/饮品,2,4,26,0,0,3,3,3,,photo (3).jpg,4,2,3,停留为主（消费）；铺地统一；平地；开敞,photo (3).jpg,树木；雨棚,80,3,3,8,3,1,7,0,6,2,0,4,4,0,0,8,2,5,6,0,3,0,0,0,0,0,0,0,0,0
50,上海市徐汇区湖南路街道新乐路144号,商店，打卡,1787994763052.jpg,3.5,0,4.3,零售,1,4,500,0,0,5,4,4,不连续，左侧断开（小区出入口）,photo (4).jpg,5,4,5,停留拍照打卡为主；铺地变化；平地；开敞,photo (4).jpg,树木,60,4,5,10,5,0,10,0,10,0,0,3,7,0,0,10,8,0,0,10,2,0,0,0,0,0,0,0,0,0
51,上海市徐汇区湖南路街道新乐路158号,,1787995653604.jpg,16.4,1.5,47.4,零售,1,1,,0,6,3,4,4,连续,photo (5).jpg,3,1,5,通行与停留并存；铺地统一；有明显高差（台阶）；开敞,photo (5).jpg,树木；建筑,30,4,3,6,2,2,4,0,5,1,0,1,4,1,6,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0
52,上海市徐汇区湖南路街道新乐路212号,商店,1787996363051.jpg,13,0,12.3,零售；生活服务,2,5,25,0,8,3,2,2.5,连续,photo (6).jpg,4,3.5,4,动静混杂；铺地统一；平地；植物半围合,photo (6).jpg,树木；雨棚,50,4,3,8,2,4,4,0,7,1,0,4,4,0,7,1,0,0,1,2,2,0,5,4,0,0,0,0,0,0
53,上海市徐汇区湖南路街道延庆路41号,,IMG_20260829_170207.jpg,27,0.4,54.4,零售,1,4,200,0,4,3.7,4,3.3,界面不连续，入口退让成三角型灰空间,928fd9adbfd12318bde70886fd224a8e.jpg,3.3,3.7,3.3,停留处有围合，无座位抬升，无特殊铺地,928fd9adbfd12318bde70886fd224a8e.jpg,树木；建筑,80,2.7,3.3,3,1,0,3,0,3,0,0,0,3,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0
54,上海市徐汇区湖南路街道延庆路92号,商店,IMG_5831.jpg,24,0,39.4,零售,2,5,350,0,6,4,4,3,界面存在断裂，是居住小区的入口门,IMG_5831.jpg,4,3,4,橱窗处有座位停留，有围合，无抬升、无特殊铺地,IMG_5831.jpg,树木；建筑,30,3,3,4,2,0,4,0,4,0,0,3,1,0,2,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0
55,上海市徐汇区湖南路街道延庆路123号,围墙,IMG_20260829_165346.jpg,27,0,61.6,其他,1,1,0,0,0,3.5,4,3.5,为了拍摄对面店铺进行停留界面连续整齐,8ec038fb9f7acc04db1df750420bcf9a.jpg,3,3.5,3.5,无座位停留，站立停留，无特殊铺地、无围合、无抬升,8ec038fb9f7acc04db1df750420bcf9a.jpg,树木,90,3.5,4,6,2,1,5,0,6,0,0,2,4,0,0,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0
56,上海市徐汇区湖南路街道延庆路147号,商店,IMG_20260829_163923.jpg,39,0,89,其他,1,1,0,0,0,3.5,3,3,界面连续无分隔,7ee08960219183f8c9c99be9fe21e3d5.jpg,2,2,3.5,无座位，站立停留拍照打卡，无围合、抬升、无特殊铺地,7ee08960219183f8c9c99be9fe21e3d5.jpg,其他,0,3.5,3.5,4,2,0,4,0,4,0,0,2,2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0
57,上海市徐汇区湖南路街道延庆路185号,餐饮,image.jpg,15.2,0,48.6,餐饮/饮品,1,2,63,100,10,3,3.3,4,处于街角，界面连续,94e02e8fbdd13a9e3271c86dd7177626.jpg,3.7,3,3.7,停留无铺地、无围合、无抬升,94e02e8fbdd13a9e3271c86dd7177626.jpg,雨棚,80,3.3,3,7,3,1,6,0,5,2,0,2,5,0,7,0,0,0,7,4,5,0,3,0,0,0,0,0,0,0
58,上海市徐汇区湖南路街道长乐路339弄17号,商店,IMG_20260825_110603.jpg,7,0,12.5,餐饮/饮品,1,4,38,100,4,4,4,3,一侧为民宅入口，一侧为餐饮铺,,3,4,4,无,,树木；雨棚,100,3,3,3,1,1,2,0,2,1,0,1,2,0,2,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0
59,上海市徐汇区湖南路街道长乐路411号,商店,IMG_20260825_110848.jpg,7,0.5,12.5,餐饮/饮品,2,5,9,0,1,4.5,2.5,3.5,一侧是彩票店，一侧是柠檬茶饮品。,,4.5,4,3,无,,树木,100,3.5,4,7,3,1,6,1,2,4,0,2,5,0,0,7,0,2,6,0,2,0,0,0,0,0,0,0,0,0
60,上海市徐汇区湖南路街道长乐路615号,商店,1788077846445.jpg,7.9,1,13.8,餐饮/饮品,2,4,37,0,3,3,2,4,一侧为内部小区入口，一侧是生活零售,,4,4,4,有内退，白色水泥铺地，抬升,,树木；建筑,100,4,4,3,2,1,2,0,3,0,0,2,1,0,1,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0
61,上海市静安区南京西路街道富民路142号,餐饮,735.jpg,14,0.6,18.5,餐饮/饮品,3,5,47,100,8,4,2,3,界面连续，均为店铺,735.jpg,3,3,3,外摆座椅停留，无特殊围合、铺地、抬升,735.jpg,树木；雨棚,60,3,3,4,2,2,2,0,3,1,0,1,3,0,4,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0
62,上海市静安区南京西路街道富民路160号,饭店,IMG_20260829_174053.jpg,12.8,0,21.3,餐饮/饮品；零售,2,4,67,100,6,3.3,4.7,4.7,界面连续均为店铺,373a30ad51ed4443ec01ce20a405f244.jpg,4.3,3.3,3.3,座位设置在马路边，无特殊铺地、无围合、无抬升,373a30ad51ed4443ec01ce20a405f244.jpg,其他,10,4,4,6,3,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
63,上海市静安区南京西路街道富民路177号,饭店,IMG_20260829_172754.jpg,13,0.4,32,餐饮/饮品,1,3,108,100,9,3,2,4,界面连续均为商铺,26efdf7318c6ac00052c1ee1ab489f9f.jpg,2,4,3,有围合、无特殊铺地，无抬升,26efdf7318c6ac00052c1ee1ab489f9f.jpg,雨棚,90,4,3,3,1,1,2,0,3,0,0,0,3,0,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
64,上海市静安区南京西路街道富民路205号,餐饮,IMG_20260829_171912.jpg,23.4,0.4,43.3,餐饮/饮品；零售,2,4,40,50,3,3,4,3.5,界面连续均为商铺,40e26874e4293118a0eb4e382da511a4.jpg,4,3,3.5,部分站立停留部分存在座椅，无围合、抬升、铺地,40e26874e4293118a0eb4e382da511a4.jpg,树木；建筑,100,2.5,3,7,3,0,7,0,7,0,0,2,5,0,4,3,0,0,4,0,6,0,5,0,0,0,0,0,0,0
65,上海市静安区南京西路街道巨鹿路542号,餐饮,739.jpg,18,1,21.3,餐饮/饮品,3,2,87,100,3,5,4,5,界面断裂，为居住小区入口,739.jpg,4,3,5,座位停留处有抬升、有围合、存在区别于人行道的铺地,739.jpg,树木；建筑,70,4,3,3,1,1,2,0,0,3,0,2,1,0,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0
66,上海市静安区南京西路街道巨鹿路691号,餐饮,IMG_5847.jpg,23,0,73,餐饮/饮品,2,5,100,70,4,3,4,4,界面不连续，入口等有退让,IMG_5844.jpg,3,4,4,外摆座椅停留，无特殊铺地、抬升、围合,IMG_5844.jpg,树木；雨棚,80,3,3,3,1,1,2,1,0,2,0,1,2,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
67,上海市静安区南京西路街道巨鹿路754号,餐饮,737.jpg,20.6,2.5,63.5,餐饮/饮品,2,5,60,100,25,4,2,2,界面较为连续，左侧商店门口开洞退让,737.jpg,3,4,4,部分座椅设施在建筑退让内部，有抬升，其余街边座椅设施不存在特殊铺地、抬升、围合,737.jpg,树木；雨棚,90,3,3,17,7,2,15,1,15,1,0,8,9,0,15,2,0,0,5,0,11,0,14,4,0,0,0,0,0,0
68,上海市静安区南京西路街道巨鹿路789号,餐饮,IMG_5841.jpg,16.18,0.4,19.9,餐饮/饮品,3,3,49,70,8,3,4,4,界面连续为商铺,IMG_5841.jpg,5,4,4,外摆桌椅停留，无特殊铺地、抬升、围合,IMG_5841.jpg,树木,70,2,4,3,1,1,2,0,0,2,1,2,1,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
69,上海市静安区南京西路街道巨鹿路845弄10号,商店,736.jpg,16.35,1,51.2,零售；生活服务,2,4,15783,0,0,4,3,4,界面连续，均为店铺,736.jpg,4,4,3,无座椅停留，但入口空间退让抬升可供站立停留,736.jpg,树木；建筑,80,3,4,3,1,0,3,0,3,0,0,1,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
70,上海市静安区南京西路街道襄阳北路5号,餐饮,图片1.jpg,,,,餐饮/饮品,3,1,89,0,8,3,2,2,,IMG_5529.jpg,5,1,4,,IMG_5529.jpg,树木；建筑,50,4,4,2,2,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
71,上海市黄浦区瑞金二路街道茂名南路72号,餐馆,IMG_20260829_181624.jpg,6,0,5,餐饮/饮品,1,1,,,12,4,4,3,,1787998812985.jpg,4,1,5,,,树木；建筑,70,2,4,9,3,1,8,0,8,1,0,1,8,0,0,9,3,4,0,0,2,0,0,0,0,0,0,0,0,0
72,上海市黄浦区瑞金二路街道茂名南路132号,餐馆,IMG_24086.jpg,7,0,8,餐饮/饮品,1,2,,,20,4,4,3,,,2,1,4,,,树木；建筑,80,2,4,17,3,8,9,0,7,10,0,9,8,0,12,5,0,1,11,1,2,0,3,2,0,0,0,0,0,1
73,上海市黄浦区瑞金二路街道南昌路181号,餐饮,IMG_24122.jpg,,,,,,,,,,5,4,4,,,5,5,5,,,,,4,4,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
74,上海市黄浦区瑞金二路街道南昌路209弄2号,餐饮,IMG_20260830_161513.jpg,,,,,,,,,,3,2,3,,,1,2,2,,,,,3,3,11,4,2,9,0,11,0,0,6,5,0,0,11,2,4,0,5,0,0,0,0,0,0,0,0,0,0
75,上海市黄浦区瑞金二路街道南昌路354号,首饰,IMG_24124.jpg,,,,,,,,,,5,1,4,,,5,5,5,,,,,5,5,4,2,0,4,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
76,上海市黄浦区瑞金二路街道绍兴路8号,商店,IMG_24078.jpg,,,,,,,,,,3,5,3.5,,,1.5,2,5,,,,,3,3,6,2,1,5,0,0,1,5,5,1,0,4,2,2,0,0,0,0,0,0,1,0,0,3,0,0,0
77,上海市黄浦区瑞金二路街道绍兴路19号,商店,IMG_24074.jpg,,,,,,,,,,4,1.5,3,,,3.5,2.5,4,,,,,4,3.5,16,6,2,14,0,16,0,0,4,12,0,5,11,0,0,12,3,7,0,1,5,0,0,0,0,0,0
78,上海市黄浦区瑞金二路街道永嘉路120号,商店,IMG_24080.jpg,,,,,,,,,,3,2,1,,,1,2,3,,,,,2,2,7,3,1,6,1,0,3,3,3,4,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0
79,上海市徐汇区天平路街道宝庆路21号,商店,IMG_20260829_174318.jpg,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,0,2,0,0,1,1,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0
80,上海市徐汇区天平路街道汾阳路77号,餐饮,微信图片_20260825184350_19_1153.jpg,,,,,,,,,,4,3.33,4,,,4,4,4.67,,,,,4,3.33,7,2,3,4,0,4,3,0,3,4,0,5,2,1,1,1,2,5,0,3,3,0,0,0,0,0,1
81,上海市徐汇区天平路街道复兴中路1265号,餐饮,IMG_20260829_165210.jpg,1.5,0,4,餐饮/饮品；零售,2,5,10,50,17,3,4,5,与两侧建筑完整相连,Image_1788253825312_705.jpg,1,3,5,无变化,Image_1788253825312_705.jpg,树木；雨棚,70,1,2,11,1,8,3,0,3,8,0,4,7,0,1,10,0,7,10,1,4,0,1,1,0,0,0,0,0,0
